LumiCycle: Ca1a-Bmal1-1 (Raw),,,,,,,,,
Time (days),counts/sec,Time (days),counts/sec,Time (days),counts/sec,Time (days),counts/sec,Time (days),counts/sec
0.77083,1858.125,0.77083,2421.733,0.77083,3442.09,0.77083,3151.946,0.77083,2594.5
0.77778,1840.686,0.77778,2399.262,0.77778,3412.258,0.77778,3142.071,0.77778,2568.89
0.78472,1837.868,0.78472,2383.815,0.78472,3357.727,0.78472,3121.986,0.78472,2524.677
0.79167,1827.395,0.79167,2369.857,0.79167,3323.432,0.79167,3103.408,0.79167,2508.326
0.79861,1817.749,0.79861,2343.805,0.79861,3306.336,0.79861,3088.87,0.79861,2480.494
0.80556,1810.199,0.80556,2339.483,0.80556,3256.101,0.80556,3078.182,0.80556,2440.963
0.8125,1808.964,0.8125,2329.089,0.8125,3230.988,0.8125,3042.204,0.8125,2422.395
0.81944,1804.886,0.81944,2320.139,0.81944,3212.069,0.81944,3023.751,0.81944,2375.216
0.82639,1798.702,0.82639,2297.433,0.82639,3158.897,0.82639,3005.084,0.82639,2340.656
0.83333,1795.713,0.83333,2308.458,0.83333,3152.849,0.83333,2983.123,0.83333,2303.336
0.84028,1790.601,0.84028,2290.668,0.84028,3115.852,0.84028,2967.167,0.84028,2272.617
0.84722,1776.917,0.84722,2279.111,0.84722,3105.782,0.84722,2959.606,0.84722,2223.248
0.85417,1782.449,0.85417,2259.542,0.85417,3079.734,0.85417,2937.442,0.85417,2189.807
0.86111,1779.081,0.86111,2245.707,0.86111,3054.568,0.86111,2899.879,0.86111,2168.818
0.86806,1776.335,0.86806,2244.483,0.86806,3019.953,0.86806,2890.931,0.86806,2125.378
0.875,1770.42,0.875,2227.739,0.875,3013.023,0.875,2876.282,0.875,2071.468
0.88194,1773.548,0.88194,2216.28,0.88194,2986.473,0.88194,2858.31,0.88194,2061.902
0.88889,1773.304,0.88889,2203.209,0.88889,2953.946,0.88889,2848.006,0.88889,2022.401
0.89583,1764.779,0.89583,2198.032,0.89583,2938.627,0.89583,2827.48,0.89583,2004.177
0.90278,1757.787,0.90278,2183.762,0.90278,2938.098,0.90278,2809.029,0.90278,1974.271
0.90972,1767.044,0.90972,2171.017,0.90972,2893.753,0.90972,2800.464,0.90972,1946.826
0.91667,1761.876,0.91667,2160.294,0.91667,2893.774,0.91667,2779.514,0.91667,1932.914
0.92361,1760.908,0.92361,2147.156,0.92361,2886.568,0.92361,2765.073,0.92361,1889.968
0.93056,1768.292,0.93056,2137.639,0.93056,2864.478,0.93056,2740.436,0.93056,1870.456
0.9375,1761.255,0.9375,2110.938,0.9375,2845.559,0.9375,2736.719,0.9375,1862.183
0.94444,1757.831,0.94444,2106.719,0.94444,2833.093,0.94444,2714.522,0.94444,1846.678
0.95139,1746.624,0.95139,2073.083,0.95139,2804.794,0.95139,2712.866,0.95139,1825.006
0.95833,1756.84,0.95833,2074.507,0.95833,2787.389,0.95833,2688.868,0.95833,1802.069
0.96528,1750.014,0.96528,2064.299,0.96528,2786.513,0.96528,2677.052,0.96528,1786.887
0.97222,1746.027,0.97222,2049.225,0.97222,2760.632,0.97222,2666.282,0.97222,1777.832
0.97917,1744.893,0.97917,2023.205,0.97917,2732.723,0.97917,2636.912,0.97917,1766.578
0.98611,1733.591,0.98611,2017.169,0.98611,2717.823,0.98611,2644.341,0.98611,1755.525
0.99306,1735.3,0.99306,1988.491,0.99306,2701.53,0.99306,2625.673,0.99306,1740.585
1,1722.535,1,1963.371,1,2687.752,1,2602.414,1,1722.816
1.00694,1714.051,1.00694,1947.903,1.00694,2673.028,1.00694,2594.719,1.00694,1719.479
1.01389,1719.114,1.01389,1916.418,1.01389,2659.733,1.01389,2577.505,1.01389,1696.4
1.02083,1706.823,1.02083,1898.784,1.02083,2634.277,1.02083,2562.297,1.02083,1697.894
1.02778,1705.076,1.02778,1888.63,1.02778,2625.511,1.02778,2543.376,1.02778,1691.119
1.03472,1701.855,1.03472,1857.381,1.03472,2592.07,1.03472,2512.546,1.03472,1678.196
1.04167,1696.994,1.04167,1838.115,1.04167,2576.423,1.04167,2504.753,1.04167,1670.739
1.04861,1689.69,1.04861,1826.774,1.04861,2560.783,1.04861,2490.622,1.04861,1671.922
1.05556,1680.323,1.05556,1808.712,1.05556,2520.385,1.05556,2474.8,1.05556,1668.799
1.0625,1681.934,1.0625,1779.463,1.0625,2503.371,1.0625,2455.745,1.0625,1656.294
1.06944,1679.054,1.06944,1758.844,1.06944,2489.541,1.06944,2441.274,1.06944,1652.17
1.07639,1689.179,1.07639,1738.499,1.07639,2459.345,1.07639,2419.84,1.07639,1644.078
1.08333,1678.765,1.08333,1721.113,1.08333,2448.623,1.08333,2398.583,1.08333,1639.656
1.09028,1660.979,1.09028,1710.456,1.09028,2430.421,1.09028,2374.323,1.09028,1637.083
1.09722,1653.155,1.09722,1688.258,1.09722,2398.701,1.09722,2356.365,1.09722,1633.448
1.10417,1651.65,1.10417,1665.02,1.10417,2376.707,1.10417,2337.602,1.10417,1631.217
1.11111,1631.679,1.11111,1646.131,1.11111,2366.745,1.11111,2309.885,1.11111,1621.514
1.11806,1629.483,1.11806,1641.493,1.11806,2336.147,1.11806,2289.285,1.11806,1606.82
1.125,1614.376,1.125,1609.195,1.125,2320.445,1.125,2276.723,1.125,1610.508
1.13194,1610.787,1.13194,1601.374,1.13194,2294.233,1.13194,2236.525,1.13194,1601.458
1.13889,1585.674,1.13889,1586.365,1.13889,2263.527,1.13889,2225.21,1.13889,1608.116
1.14583,1582.38,1.14583,1556.097,1.14583,2248.451,1.14583,2214.883,1.14583,1585.468
1.15278,1573.858,1.15278,1545.012,1.15278,2233.131,1.15278,2171.272,1.15278,1593.71
1.15972,1561.971,1.15972,1521.693,1.15972,2191.924,1.15972,2151.631,1.15972,1590.452
1.16667,1544.484,1.16667,1498.869,1.16667,2168.731,1.16667,2130.009,1.16667,1566.308
1.17361,1531.175,1.17361,1488.318,1.17361,2154.388,1.17361,2116.858,1.17361,1574.608
1.18056,1519.546,1.18056,1452.738,1.18056,2129.179,1.18056,2088.079,1.18056,1573.192
1.1875,1512.28,1.1875,1447.613,1.1875,2088.666,1.1875,2051.926,1.1875,1565.113
1.19444,1501.652,1.19444,1410.809,1.19444,2066.815,1.19444,2031.648,1.19444,1555.48
1.20139,1473.948,1.20139,1399.008,1.20139,2048.525,1.20139,1995.881,1.20139,1555.669
1.20833,1474.577,1.20833,1377.625,1.20833,2018.984,1.20833,1969.954,1.20833,1552.819
1.21528,1455.743,1.21528,1362.88,1.21528,1997.825,1.21528,1936.294,1.21528,1550.657
1.22222,1445.796,1.22222,1333.674,1.22222,1965.038,1.22222,1916.715,1.22222,1537.843
1.22917,1430.81,1.22917,1312.77,1.22917,1938.355,1.22917,1886.858,1.22917,1535.497
1.23611,1416.657,1.23611,1300.671,1.23611,1911.589,1.23611,1855.781,1.23611,1532.976
