,,,,,,,,,
Time (days),counts/sec,Time (days),counts/sec,Time (days),counts/sec,Time (days),counts/sec,Time (days),counts/sec
0.9375,2124.879,0.9375,1663.806,0.9375,1837.268,0.9375,2188.323,0.9375,2201.409
0.94444,2076.511,0.94444,1649.142,0.94444,1821.311,0.94444,2144.331,0.94444,2151.461
0.95139,2038.761,0.95139,1620.485,0.95139,1805.865,0.95139,2094.72,0.95139,2107.307
0.95833,1990.089,0.95833,1601.427,0.95833,1787.334,0.95833,2054.593,0.95833,2056.45
0.96528,1948.175,0.96528,1591.859,0.96528,1763.676,0.96528,2005.38,0.96528,1997.105
0.97222,1906.202,0.97222,1553.34,0.97222,1745.974,0.97222,1959.605,0.97222,1953.405
0.97917,1868.915,0.97917,1551.645,0.97917,1729.691,0.97917,1928.073,0.97917,1904.691
0.98611,1825.166,0.98611,1530.697,0.98611,1708.553,0.98611,1890.944,0.98611,1861.444
0.99306,1775.56,0.99306,1501.399,0.99306,1689.093,0.99306,1834.333,0.99306,1817.23
1,1735.885,1,1484.657,1,1666.287,1,1796.463,1,1767.983
1.00694,1697.404,1.00694,1460.401,1.00694,1644.102,1.00694,1759.795,1.00694,1727.854
1.01389,1654.87,1.01389,1448.067,1.01389,1627.762,1.01389,1718.234,1.01389,1664.631
1.02083,1618.126,1.02083,1430.9,1.02083,1607.481,1.02083,1678.448,1.02083,1633.932
1.02778,1569.422,1.02778,1405.883,1.02778,1585.787,1.02778,1635.143,1.02778,1592.043
1.03472,1549.605,1.03472,1389.818,1.03472,1570.577,1.03472,1601.512,1.03472,1560.755
1.04167,1504.782,1.04167,1375.047,1.04167,1537.362,1.04167,1568.521,1.04167,1514.08
1.04861,1469.214,1.04861,1346.576,1.04861,1520.356,1.04861,1531.109,1.04861,1473.67
1.05556,1436.816,1.05556,1335.791,1.05556,1495.347,1.05556,1495.153,1.05556,1433.699
1.0625,1393.754,1.0625,1318.528,1.0625,1481.563,1.0625,1463.273,1.0625,1400.314
1.06944,1361.32,1.06944,1284.81,1.06944,1462.853,1.06944,1434.29,1.06944,1364.594
1.07639,1335.739,1.07639,1269.567,1.07639,1439.374,1.07639,1394.008,1.07639,1337.766
1.08333,1312.061,1.08333,1249.192,1.08333,1417.829,1.08333,1358.915,1.08333,1303.359
1.09028,1268.998,1.09028,1225.609,1.09028,1401.322,1.09028,1340.928,1.09028,1260.032
1.09722,1244.886,1.09722,1212.198,1.09722,1373.084,1.09722,1308.43,1.09722,1236.021
1.10417,1218.376,1.10417,1196.642,1.10417,1357.402,1.10417,1282.961,1.10417,1209.705
1.11111,1192.334,1.11111,1171.408,1.11111,1338.303,1.11111,1258.468,1.11111,1187.273
1.11806,1165.949,1.11806,1155.78,1.11806,1321.426,1.11806,1228.773,1.11806,1147.668
1.125,1142.872,1.125,1144.87,1.125,1299.873,1.125,1215.64,1.125,1129.231
1.13194,1128.079,1.13194,1113.081,1.13194,1278.905,1.13194,1186.838,1.13194,1103.939
1.13889,1093.479,1.13889,1098.575,1.13889,1255.059,1.13889,1162.896,1.13889,1081.211
1.14583,1075.906,1.14583,1085.905,1.14583,1240.508,1.14583,1143.421,1.14583,1057.443
1.15278,1058.329,1.15278,1069.934,1.15278,1212.372,1.15278,1116.197,1.15278,1035.165
1.15972,1033.071,1.15972,1051.036,1.15972,1205.139,1.15972,1094.228,1.15972,1019.726
1.16667,1008.037,1.16667,1025.587,1.16667,1183.361,1.16667,1075.358,1.16667,992.568
1.17361,1007.461,1.17361,1012.424,1.17361,1157.002,1.17361,1066.193,1.17361,975.239
1.18056,977.573,1.18056,992.993,1.18056,1141.676,1.18056,1040.147,1.18056,961.499
1.1875,959.339,1.1875,985.077,1.1875,1112.203,1.1875,1025.412,1.1875,947.309
1.19444,955.319,1.19444,959.909,1.19444,1100.236,1.19444,1011.065,1.19444,934.952
1.20139,937.965,1.20139,949.929,1.20139,1082.517,1.20139,994.475,1.20139,914.151
1.20833,918.102,1.20833,925.919,1.20833,1056.706,1.20833,981.894,1.20833,899
1.21528,901.768,1.21528,917.89,1.21528,1041.125,1.21528,968.942,1.21528,891.053
1.22222,889.123,1.22222,902.283,1.22222,1017.875,1.22222,960.04,1.22222,879.267
1.22917,883.088,1.22917,881.845,1.22917,1001.167,1.22917,947.573,1.22917,870.942
1.23611,873.722,1.23611,873.478,1.23611,986.143,1.23611,935.455,1.23611,853.893
1.24306,861.55,1.24306,859.54,1.24306,971.452,1.24306,927.022,1.24306,849.84
1.25,861.262,1.25,845.773,1.25,962.276,1.25,922.995,1.25,840.554
1.25694,844.885,1.25694,829.419,1.25694,942.5,1.25694,916.188,1.25694,843.219
1.26389,847.229,1.26389,814.108,1.26389,928.382,1.26389,911.555,1.26389,835.076
1.27083,843.663,1.27083,808.154,1.27083,914.932,1.27083,913.31,1.27083,827.701
1.27778,834.817,1.27778,805.168,1.27778,902.673,1.27778,907.381,1.27778,823.198
